daily_ammount_sold,shippment_duration,price
5.0,6.633930965,342.0845278
28.31096254,12.99671679,138.657429
28.44501324,13.0015062,149.5513542
29.8411461,13.33653969,145.3718809
30.18363026,13.0991507,135.5633045
30.37871723,12.72995442,142.7913673
30.61982983,12.49020889,142.3228528
30.97193572,12.6080702,133.821421
31.15317872,12.38342327,160.6260259
32.60009384,12.47540998,151.0373524
33.03879974,13.25779873,141.6392803
33.2422239,13.39998662,143.6981043
33.2451774,12.80280403,142.27294
33.25483754,12.66870335,137.1523071
33.27220216,12.49145058,146.7089027
33.47318693,12.68940115,127.7252378
33.78919046,13.6626959,138.7953991
33.80634646,12.74566435,142.1763263
33.86773176,12.66264531,147.3999928
33.88568332,12.4039838,153.9193476
34.09105706,13.53007191,135.8163652
34.66841197,12.69852562,137.5468889
34.74457641,11.98113949,139.8299217
34.97871482,12.85051103,156.0306854
34.99033257,12.26180461,139.4811651
35.16487107,12.96205184,139.9089469
35.27431807,12.89785245,157.0412361
35.59559769,13.3472289,146.1411094
35.6056414,13.36533246,163.1084038
35.65826727,12.9133985,149.3755373
35.67819662,12.86359031,159.735025
35.71473238,13.20715981,144.4556386
35.76361623,12.51412786,162.978352
35.80600394,12.63643502,147.0528618
35.86482679,12.6465633,153.7082644
36.04279585,12.6896743,135.0959574
36.07661774,12.3503265,160.4651955
36.11559485,12.74749965,139.1634749
36.12751569,12.54662608,144.1833885
36.21267871,13.15263445,140.062007
36.30212709,12.83836634,147.346833
36.3221131,12.18576874,154.9512738
36.43098898,13.51297394,146.4933228
36.52238698,12.82543958,143.860077
36.56225182,12.50993449,139.534425
36.66089647,13.10561738,150.4517062
36.67437744,13.23700866,140.9739337
36.7075283,13.13617444,151.7575554
36.72121228,12.58104281,138.9320046
36.95072272,12.4605673,134.8791974
36.96839123,12.28093429,156.0026191
37.04373414,12.52455499,129.8178989
37.13088702,12.13704053,140.5753581
37.18717098,12.39797571,140.3308477
37.19609364,12.84512762,142.9146884
37.21531683,12.59624352,149.120434
37.22710282,13.04153393,138.7819366
37.24230133,13.66972085,139.7037921
37.31013848,12.38179931,143.3212185
37.34159635,12.9120279,145.3046299
37.37014282,12.92485513,135.5252441
37.40267197,12.2102125,146.0902781
37.42806605,12.9165882,160.6694789
37.44390074,12.70841865,148.0733808
37.54075475,13.32819985,151.4017557
37.59570069,12.28866727,148.1836518
37.62430554,12.7521464,147.7893002
37.66856901,12.83855683,152.1855417
37.67938206,12.69945248,144.6561787
37.88164863,12.22477155,164.5762246
37.88215385,12.97778956,131.1491005
37.89352712,12.70072941,155.1093987
38.01310868,12.69121978,144.3814022
38.06072363,12.75155746,151.9251347
38.06315181,12.4240244,152.0768642
38.09047261,12.86146467,162.4963986
38.09523631,12.7902681,134.4981821
38.12382386,13.0477229,149.5060944
38.1611029,12.81101645,142.632416
38.25693469,11.91062758,144.4462347
38.28444715,12.75855483,154.3869692
38.3271664,13.35924733,137.3024146
38.35398142,13.2466565,149.6697871
38.36079355,13.09037402,155.4488529
38.39305859,12.99738312,148.0474766
38.43399816,12.40691781,143.1304062
38.4831149,12.91256347,133.0558936
38.49650976,12.97586286,132.5065803
38.49659884,12.77440849,143.6375215
38.52433366,13.06645318,147.1271863
38.59793982,12.6732878,147.2473784
38.65264359,12.80611339,149.234108
38.66117709,13.04567518,148.8227098
38.68598325,12.60759401,153.8818466
38.72971183,13.39478706,150.8154389
38.78749129,12.89373576,141.8905717
38.8490696,13.75529271,141.9738399
38.88713003,12.50681114,140.6429566
38.91134259,12.33650904,146.0772993
38.91428757,13.03559805,139.698048
38.91648105,12.47164021,158.9535357
38.94638096,13.52741318,130.4327507
38.95744992,13.45962727,141.1195809
38.97375908,13.45010098,144.7573993
39.0014592,12.04344436,159.8912263
39.03059958,13.07556372,147.5759366
39.0358767,12.46758917,135.678635
39.04104996,12.90082251,144.0875972
39.0905925,12.51600291,142.032321
39.10311485,12.32241932,139.3998235
39.14556603,13.07059611,150.4542985
39.14733859,12.64284973,143.4385088
39.24850196,13.20199179,154.7700358
39.27225266,13.10642408,144.0543125
39.29309378,12.90278606,154.4281918
39.31935033,12.62142839,139.2410304
39.35489479,13.49568937,141.021369
39.36525647,13.67154731,165.9612765
39.50264005,13.22524548,147.3517698
39.5100753,13.56710341,158.4865183
39.51620455,12.99749088,145.6013423
39.51844106,13.57318279,136.4952971
39.52740985,13.16758033,139.522775
39.55426499,12.33406003,129.6722645
39.55592862,12.63283508,154.1830021
39.61915612,12.5322864,137.1925478
39.62666389,12.63915991,148.1942309
39.63069463,11.90628081,156.442838
39.65639447,12.89548394,146.7781826
39.67039011,12.42824331,152.4460114
39.68401022,12.245724,149.9516539
39.69203639,12.44140866,145.3944433
39.7030308,13.17411626,133.9401233
39.76956172,12.88423705,138.0081516
39.79092565,12.91204456,141.493542
39.81197945,13.25554222,150.9827038
39.82402203,13.05177399,149.7870617
39.85331116,12.9520759,144.9620178
39.86195981,12.33840967,141.9264345
39.86346132,13.00345642,148.8005613
39.86826142,12.72909133,141.4507883
39.86934388,13.15757981,159.9276384
39.87329346,12.63923515,148.7003885
39.8742753,13.54210947,142.6645919
39.88041812,13.03271488,152.4290298
39.90303545,13.19811065,158.3791729
39.90850433,12.16357304,147.0538733
39.91003397,12.9630797,139.5229671
39.92536744,12.78213408,146.0347908
39.93728504,12.38439845,140.6355771
39.97459078,13.3026602,140.6044806
39.98664575,12.81397337,152.1593136
40.01463279,13.70395661,151.7410464
40.01691672,12.67719591,142.3617548
40.0265099,13.10698009,142.5982543
40.05579875,12.84978798,140.7419603
40.05653761,13.25239729,151.9823917
40.05975362,12.5364576,155.8446329
40.0615325,12.92811122,151.3505569
40.06222672,12.63034902,160.0574824
40.10815338,12.56267424,139.5681871
40.20691932,12.85901401,140.2939469
40.21139927,12.24322108,140.1272618
40.21398254,13.22198502,142.5357092
40.2590492,13.07299158,140.3251553
40.27490144,13.02139437,155.744264
40.29230107,13.08552932,139.1669411
40.318486,12.74949981,160.4749138
40.33234862,12.91876159,133.5111918
40.35473222,13.44702464,161.0140415
40.39281839,13.10746611,133.7348467
40.4266236,12.24079928,148.7759662
40.43056362,12.77070328,153.8278081
40.45474289,12.7175884,171.8162716
40.47720789,13.54089148,145.967912
40.48103647,12.25711215,151.1734776
40.48827959,13.14445283,145.0135004
40.50583081,12.32739621,133.3803017
40.5246053,12.95470864,147.3143861
40.54825443,13.54754965,209.3133564
40.55107198,12.73092655,128.3064187
40.57316915,12.64406713,147.1361961
40.5906248,13.5483007,134.0532792
40.59216097,12.88432358,126.482129
40.60811422,12.44698297,132.1742064
40.6174153,13.25014556,147.5724102
40.61993868,12.72784725,133.3129647
40.62241889,13.0361144,139.7197696
40.6225437,12.63195167,148.1657101
40.66478515,12.67680791,145.87239
40.6673235,12.59249905,153.0721156
40.70851736,13.03068506,156.1169516
40.71153801,12.29167404,150.9771019
40.73082105,12.55934556,158.0859915
40.79570575,12.90450454,156.2043057
40.80385143,12.95860187,150.8556719
40.8617136,13.29107317,146.3941799
40.89427934,13.22362179,145.9592837
40.89636151,13.29516289,160.4199335
40.91269121,12.56705403,143.9365028
40.97836635,12.62849588,145.6848596
41.02831449,12.62487265,138.2081947
41.05172207,12.63536886,148.5797812
41.0532778,13.23861754,132.3345802
41.0590273,12.94878012,147.2158783
41.08465835,13.09186392,148.8941868
41.08851136,13.29404718,140.7392628
41.12450457,12.90242366,153.8044005
41.14161995,13.08555675,134.7766794
41.15806897,12.28065934,162.6069911
41.19094869,12.66627884,149.4208884
41.20311729,13.29954424,151.1808118
41.20568863,13.29564258,148.7234628
41.25025709,12.81565152,152.8680987
41.25199337,12.51374454,140.2736637
41.26276273,13.1360489,144.9518074
41.28541737,12.2172609,146.5203974
41.3058773,13.0591709,151.916655
